Hour,Avg_Temp
0,295.12
1,294.94199999999995
2,293.10800000000006
3,291.38599999999997
4,290.214
5,289.32
6,288.698
7,288.248
8,287.87
9,287.562
10,287.24
11,286.71999999999997
12,286.532
13,286.37600000000003
14,286.32800000000003
15,286.552
16,287.242
17,288.442
18,289.67199999999997
19,291.072
20,291.954
21,292.996
22,293.73400000000004
23,293.642
