Hour,Avg_Temp
0,300.1700000000001
1,298.99
2,297.986
3,297.284
4,296.68
5,296.072
6,295.686
7,295.27600000000007
8,294.74799999999993
9,294.53000000000003
10,294.252
11,293.876
12,293.71
13,294.00200000000007
14,295.534
15,297.234
16,298.95
17,301.032
18,302.25199999999995
19,303.144
20,303.946
21,304.034
22,303.878
23,303.142
