Hour,Avg_Temp
0,291.47400000000005
1,290.732
2,290.00600000000003
3,289.552
4,289.06000000000006
5,288.77200000000005
6,288.28799999999995
7,288.012
8,287.528
9,287.264
10,286.932
11,286.724
12,287.616
13,289.122
14,290.58599999999996
15,291.5
16,292.242
17,292.996
18,293.412
19,293.802
20,293.89
21,293.24399999999997
22,292.27799999999996
23,290.6820000000001
