Hour,Avg_Temp
0,295.206
1,293.178
2,290.218
3,288.606
4,287.40599999999995
5,286.486
6,285.868
7,285.45199999999994
8,284.46
9,283.798
10,283.20799999999997
11,282.58000000000004
12,282.466
13,282.448
14,284.548
15,288.71799999999996
16,291.768
17,295.306
18,297.41999999999996
19,298.68399999999997
20,299.62399999999997
21,300.03
22,299.948
23,299.496
